node_id,runtime,unlimited_stream,op_count,region_size,thread_count,node_count,qp_max,p_local,min_key,max_key,localb,remoteb,count,runtime_ns,units,mean,stdev,min,p50,p90,p95,p99,p999,max
6,10,0,10000000,22,2,10,2,50,1,1000,5,5,1989648,540729214,ops/s,217913.178604,19973.719031,129867.584071,222600.397684,223917.962999,224324.250441,0.000000,224790.209428,225535.014379
6,10,0,10000000,22,2,10,2,50,1,1000,5,5,1988621,540711780,ops/s,217799.269473,19943.306409,130125.034369,222386.003781,223838.897041,224189.257883,0.000000,224924.199364,225669.650158
