thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
1.0,10.0,50.0,1.0,1000.0,980739.0,107412.960507,6484.526445,77885.306044,108870.150118,110183.806375,110513.800252,0.0,111032.066206,111516.999895
1.0,10.0,50.0,1.0,1000.0,994988.0,108978.115623,1478.335424,97979.783867,109231.426617,110436.072759,110793.13079,0.0,111412.195431,112735.413527
1.0,10.0,50.0,1.0,1000.0,815815.0,89349.07681,4633.509048,68070.748984,90325.535955,91437.263152,91772.046579,0.0,92303.620644,92976.011554
1.0,10.0,50.0,1.0,1000.0,1009154.0,110527.147477,1194.364122,100923.014872,110589.417991,111886.610446,112249.152433,0.0,112767.352598,113374.678147
1.0,10.0,50.0,1.0,1000.0,817196.0,89503.404846,1012.743447,83539.468408,89573.645782,90681.195507,90996.185962,0.0,91483.519625,92204.365895
1.0,10.0,50.0,1.0,1000.0,979608.0,107291.512933,1109.632155,95591.924423,107349.804647,108612.291806,108906.520451,0.0,109692.627467,110231.318697
1.0,10.0,50.0,1.0,1000.0,990697.0,108505.198948,1178.99649,96875.871078,108551.025335,109800.930912,110249.548127,0.0,110883.270157,111821.289249
1.0,10.0,50.0,1.0,1000.0,974823.0,106763.704195,6534.720807,77336.923025,108227.132433,109423.735561,109866.561572,0.0,110507.371396,111920.565989
1.0,10.0,50.0,1.0,1000.0,809348.0,88641.357815,1049.918774,81297.622439,88730.709916,89788.246664,90010.487311,0.0,90566.541816,91416.938951
1.0,10.0,50.0,1.0,1000.0,925478.0,101376.612305,1129.944861,86451.036192,101411.351861,102492.72279,102943.017409,0.0,103411.706405,103950.462566
1.0,10.0,50.0,1.0,1000.0,929784.6,101834.9091459,2580.6691573,86595.16993320001,102286.02006550001,103474.28759719999,103830.0450886,0.0,104406.0271745,105214.804447
