thread_count,node_count,p_local,min_key,max_key,count,mean,stdev,min,p50,p90,p95,p99,p999,max
2.0,10.0,50.0,1.0,1000.0,2323069.0,254429.055569,3811.726166,228137.19304,255383.239755,256238.838941,256450.670038,0.0,256655.119003,256907.243767
2.0,10.0,50.0,1.0,1000.0,2323071.0,254430.197153,3800.554363,228368.427493,255379.713112,256237.675204,256384.337832,0.0,256657.654122,256794.49437
2.0,10.0,50.0,1.0,1000.0,2245570.0,245941.017686,22125.327503,149112.025177,251177.605096,252052.525021,252170.931922,0.0,252386.405222,252609.778751
2.0,10.0,50.0,1.0,1000.0,2245580.0,245940.720578,22120.348257,148345.646446,251229.147231,252008.596636,252153.935981,0.0,252454.825666,252647.782373
2.0,10.0,50.0,1.0,1000.0,2326797.0,254836.123322,22439.118006,156540.292463,260134.713983,261228.867461,261693.71698,0.0,262156.675584,262609.121084
2.0,10.0,50.0,1.0,1000.0,2326817.0,254836.775935,22405.772584,156769.676841,260109.131402,261182.707979,261642.88117,0.0,262014.143133,262567.024524
2.0,10.0,50.0,1.0,1000.0,2299691.0,251868.428142,31168.507789,157565.804372,262459.17983,262883.541773,263038.240637,0.0,263707.881795,263987.787158
2.0,10.0,50.0,1.0,1000.0,2286656.0,250441.142478,31227.057967,155873.754961,260983.565575,261533.904069,261982.806515,0.0,262862.791981,263422.273171
2.0,10.0,50.0,1.0,1000.0,2325182.0,254661.16132,22343.023431,155834.617812,259968.502209,260804.065019,260982.380192,0.0,261208.644652,261440.378422
2.0,10.0,50.0,1.0,1000.0,2325177.0,254658.899169,22356.246796,156690.237381,259974.642026,260771.019339,260969.863204,0.0,261193.575601,261386.69777
2.0,10.0,50.0,1.0,1000.0,2249680.0,246390.268755,22313.776049,148400.555154,251645.690136,252843.696913,253157.17518,0.0,253527.97669,253737.402955
2.0,10.0,50.0,1.0,1000.0,2251448.0,246584.663303,22282.871262,148954.892174,251783.855005,252935.964424,253284.614504,0.0,253603.794392,253966.593038
2.0,10.0,50.0,1.0,1000.0,2239701.0,245299.561055,22119.736912,148316.830892,250559.488982,251377.876912,251552.580894,0.0,251768.761836,251904.888781
2.0,10.0,50.0,1.0,1000.0,2228986.0,244125.7377,22102.624842,147037.494016,249358.163895,250200.482903,250329.67037,0.0,250493.607736,250714.354232
2.0,10.0,50.0,1.0,1000.0,2273377.0,248986.550769,22208.295343,151461.46695,254298.322812,255171.77039,255318.615561,0.0,255517.539285,255809.886743
2.0,10.0,50.0,1.0,1000.0,2259189.0,247432.013617,22217.052984,149970.945399,252741.330736,253577.444613,253782.070415,0.0,253975.428513,254118.619811
2.0,10.0,50.0,1.0,1000.0,2337256.0,255982.54202,22550.693415,156769.1503,261365.5875,261936.978544,262095.122087,0.0,262350.909421,262628.75486
2.0,10.0,50.0,1.0,1000.0,2336212.0,255868.867263,22565.806339,156808.095402,261326.747815,261700.586914,261772.51968,0.0,261893.060788,262090.693373
2.0,10.0,50.0,1.0,1000.0,2037895.0,223194.224833,2308.9084,176131.511044,223383.318871,223545.266236,223579.845703,0.0,223667.123748,223736.305462
2.0,10.0,50.0,1.0,1000.0,2035711.0,222953.385184,2151.116923,175636.263923,223128.762914,223294.139065,223328.237381,0.0,223394.0826,223593.754669
2.0,10.0,50.0,1.0,1000.0,2263853.25,247943.06679254997,19330.92826655,162636.24406199998,252819.53544425,253576.2974178,253783.51081230002,0.0,254074.50008839997,254333.69176570006
